IMDB Code	Date	Title	Seen	Source	Recommender	Rating	Simple Rating
tt0457939	12/29/2021	The Holiday	n	Hulu	NA	Good	8
tt0253867	12/30/2021	The Sweetest Thing	n	Netflix	NA	Okay	2
tt1041829	12/31/2021	The Proposal	n	Amazon Prime	NA	Decent +	6
tt1800246	1/1/2022	That Awkward Moment	n	Amazon Prime	NA	Good	8
tt0066921	1/2/2022	A Clockwork Orange	n	HBO Max	NA	Great	10
tt1083456	1/3/2022	Fired Up!	n	HBO Max	NA	Okay	2
tt0353969	1/4/2022	Memories of Murder	n	Hulu	NA	Great	10
tt0119223	1/5/2022	Great Expectations	n	Starz	NA	Okay	2
tt1092026	1/6/2022	Paul	n	Starz	NA	Good	8
tt0090605	1/7/2022	Aliens	n	Showtime	NA	Good +	8.5
tt8231668	1/8/2022	Good On Paper	n	Netflix	NA	Decent	5
tt0089208	1/9/2022	Girls Just Want To Have Fun	n	Pluto TV	NA	Good -	7.5
tt0092272	1/10/2022	Youngblood	n	Stream	NA	Good -	7.5
tt0088794	1/11/2022	Better Off Dead	n	Stream	NA	Good	8
tt0117119	1/11/2022	My Fellow Americans	n	Stream	NA	Good	8
tt0112740	1/12/2022	Crimson Tide	n	Stream	NA	Good	8
tt0087985	1/13/2022	Red Dawn	n	HBO Max	NA	Good	8
tt0088247	1/14/2022	The Terminator	n	Amazon Prime	NA	Good +	8.5
tt0055852	1/15/2022	Cleo from 5 to 7	n	HBO Max	NA	Good +	8.5
tt0092513	1/16/2022	Adventures in Babysitting	n	Disney +	NA	Good	8
tt0477991	1/17/2022	Kinetta	n	Kanopy	NA	Good -	7.5
tt5715874	1/18/2022	The Killing of a Sacred Deer	n	Showtime	NA	Great	10
tt1379182	1/19/2022	Dogtooth	n	Kanopy	NA	Good +	8.5
tt1859446	1/20/2022	Alps	n	Kanopy	NA	Good +	8.5
tt6518270	1/21/2022	An Evening with Beverly Luff Lin	n	Netflix	NA	Decent +	6
tt0129280	1/22/2022	Out Of Towners	n	HBO Max	NA	Okay +	2.5
tt11003218	1/23/2022	Pig	n	Hulu	NA	Good +	8.5
tt4562728	1/24/2022	Dreamland	n	Tubi	NA	Good	8
tt2044729	1/25/2022	A Glimpse into the Mind of Charles Swan III	n	Showtime	NA	Good	8
tt0159097	1/26/2022	The Virgin Suicides	n	Stream	NA	Great	10
tt2479800	1/27/2022	Palo Alto	n	Amazon Prime	NA	Good	8
tt0115678	1/28/2022	Big Night	n	Pluto TV	NA	Good +	8.5
tt1234548	1/29/2022	The Men Who Stare at Goats	n	Netflix	NA	Decent	5
tt0180093	1/30/2022	Requim for a Dream	n	Pluto TV	NA	Good +	8.5
tt4400994	1/31/2022	The Ballad of Lefty Brown	n	Netflix	NA	Good +	8.5
tt0120804	2/1/2022	Resident Evil	n	Hulu	NA	Good	8
tt2140203	2/2/2022	Wolf Children	n	Stream	NA	Good +	8.5
tt0346156	2/3/2022	Sky Captain and the World of Tomorrow	n	Hulu	NA	Decent +	6
tt11286314	2/4/2022	Don't Look Up	n	Netflix	NA	Good +	8.5
tt6857988	2/5/2022	I Am Not An Easy Man	n	Netflix	NA	Decent	5
tt11703050	2/6/2022	The House	n	Netflix	NA	Good +	8.5
tt0068650	2/7/2022	Hanzo the Razer: Sword of Justice	n	HBO Max	NA	Decent +	6
tt10293406	2/8/2022	The Power of the Dog	n	Netflix	NA	Great	10
tt5311514	2/9/2022	Your Name.	n	Stream	NA	Great	10
tt10441822	2/10/2022	The Nowhere Inn	n	Hulu	NA	Great	10
tt7657566	2/11/2022	Death on the Nile	n	Regal	NA	Decent +	6
tt0347618	2/12/2022	The Cat Returns	n	HBO Max	NA	Good	8
tt0084649	2/13/2022	The Secret of NIHM	n	Pluto TV	NA	Good	8
tt0049406	2/14/2022	The Killing	n	Pluto TV	NA	Decent	5
tt0947798	2/15/2022	Black Swan	n	Hulu	NA	Great	10
tt9193612	2/16/2022	Ride Your Wave	n	HBO Max	NA	Good +	8.5
