"official_title","your_title","watch_date","type","year","decade","half_decade","age","runtime","genre1","genre2","genre3","seen","source","rating","imdb_rating","recommender"
"The Father(2020)","The Father","2021-04-21","movie","2020","2020","2020","2","97","Drama","Mystery","","n","Stream","8.5","8.2","NA"
"Nomadland(2020)","Nomadland","2021-04-22","movie","2020","2020","2020","2","107","Drama","","","n","Hulu","8.0","7.3","NA"
"The Trial of the Chicago 7(2020)","The Trial of the Chicago 7","2021-04-23","movie","2020","2020","2020","2","129","Drama","History","Thriller","n","Netflix","10.0","7.7","NA"
"Ma Rainey's Black Bottom(2020)","Ma Rainy's Black Bottom","2021-04-23","movie","2020","2020","2020","2","94","Drama","Music","","n","Netflix","8.0","6.9","NA"
"Judas and the Black Messiah(2021)","Judas and the Black Messiah","2021-04-24","movie","2021","2020","2020","1","126","Biography","Drama","History","n","Stream","8.5","7.4","NA"
"The United States vs. Billie Holiday(2021)","The United States vs. Billie Holiday","2021-04-24","movie","2021","2020","2020","1","126","Biography","Drama","Music","n","Hulu","8.0","6.2","NA"
"Pieces of a Woman(2020)","Pieces of a Woman","2021-04-25","movie","2020","2020","2020","2","126","Drama","","","n","Netflix","8.0","7.0","NA"
"Another Round(2020)","Another Round","2021-04-25","movie","2020","2020","2020","2","117","Comedy","Drama","","n","Hulu","8.5","7.7","NA"
"A Shaun the Sheep Movie: Farmageddon(2019)","A Shaun the Sheep Movie: Farmageddon","2021-04-26","movie","2019","2010","2015","3","86","Adventure","Animation","Comedy","n","Netflix","8.5","6.8","NA"
"One Night in Miami...(2020)","One Night in Miami","2021-04-27","movie","2020","2020","2020","2","114","Drama","","","n","Amazon Prime","10.0","7.1","NA"
"Better Days(2019)","Better Days","2021-04-28","movie","2019","2010","2015","3","135","Crime","Drama","Romance","n","Hulu","8.5","7.5","NA"
"The Man Who Sold His Skin(2020)","The Man Who Sold His Skin","2021-04-29","movie","2020","2020","2020","2","104","Drama","","","n","Netflix","8.5","6.9","NA"
"Soul(2020)","Soul","2021-04-30","movie","2020","2020","2020","2","100","Adventure","Animation","Comedy","n","Disney +","8.0","8.0","NA"
"Onward(2020)","Onward","2021-05-01","movie","2020","2020","2020","2","102","Adventure","Animation","Comedy","n","Disney +","8.5","7.4","NA"
"Collective(2019)","Colectiv","2021-05-02","movie","2019","2010","2015","3","109","Crime","Documentary","","n","Netflix","8.0","8.1","NA"
"Quo Vadis, Aida?(2020)","""Quo Veras, Aida""","2021-05-02","movie","2020","2020","2020","2","101","Drama","History","War","n","Netflix","8.5","8.0","NA"
"Hillbilly Elegy(2020)","Hillbilly Elegy","2021-05-03","movie","2020","2020","2020","2","116","Drama","","","n","Netflix","6.0","6.7","NA"
"The White Tiger(2021)","The White Tiger","2021-05-04","movie","2021","2020","2020","1","125","Crime","Drama","","n","Netflix","8.0","7.1","NA"
"Retablo(2017)","Retablo","2021-05-05","movie","2017","2010","2015","5","95","Drama","","","n","Netflix","6.0","7.5","NA"
"Prospect(2018)","Prospect","2021-05-06","movie","2018","2010","2015","4","100","Adventure","Drama","Sci-Fi","n","Netflix","7.5","6.3","NA"
"The Terminal(2004)","Terminal","2021-05-07","movie","2004","2000","2000","18","128","Comedy","Drama","Romance","n","Hulu","8.0","7.4","NA"
"Tenet(2020)","Tenet","2021-05-08","movie","2020","2020","2020","2","150","Action","Adventure","Sci-Fi","n","HBO Max","10.0","7.3","NA"
"Rush Hour(1998)","Rush Hour","2021-05-09","movie","1998","1990","1995","24","98","Action","Comedy","Crime","n","HBO Max","7.5","7.0","NA"
"You've Got Mail(1998)","You've Got Mail","2021-05-10","movie","1998","1990","1995","24","119","Comedy","Drama","Romance","n","Hulu","7.5","6.7","NA"
"Iron Sky(2012)","Iron Sky","2021-05-11","movie","2012","2010","2010","10","93","Action","Adventure","Comedy","n","Netflix","8.5","5.9","NA"
"Iron Sky: The Coming Race(2019)","Iron Sky: The Coming Race","2021-05-12","movie","2019","2010","2015","3","93","Action","Adventure","Comedy","n","Netflix","5.0","5.0","NA"
"Scouts Guide to the Zombie Apocalypse(2015)","Scouts Guide to the Zombie Apocalypse","2021-05-13","movie","2015","2010","2015","7","93","Action","Comedy","Horror","n","Tubi","7.5","6.3","NA"
"The Life Aquatic with Steve Zissou(2004)","Life Aquatic","2021-05-14","movie","2004","2000","2000","18","119","Action","Adventure","Comedy","n","Stream","8.5","7.2","NA"
"Skyfall(2012)","Skyfall","2021-05-15","movie","2012","2010","2010","10","143","Action","Adventure","Thriller","n","Hulu","8.5","7.8","NA"
"The Founder(2016)","The Founder","2021-05-16","movie","2016","2010","2015","6","115","Biography","Drama","","n","Netflix","8.5","7.2","NA"
"The Polka King(2017)","The Polka King","2021-05-16","movie","2017","2010","2015","5","95","Biography","Comedy","Drama","n","Netflix","8.5","5.9","NA"
"Barb and Star Go to Vista Del Mar(2021)","Barb and Star Go to Vista del Mar","2021-05-17","movie","2021","2020","2020","1","107","Comedy","","","n","Stream","8.5","6.3","NA"
"Earwig and the Witch(2020)","Earwig and the Witch","2021-05-18","tvMovie","2020","2020","2020","2","82","Adventure","Animation","Family","n","HBO Max","8.5","4.8","NA"
"Lady Bird(2017)","Lady Bird","2021-11-17","movie","2017","2010","2015","5","94","Comedy","Drama","","y","Netflix","6.0","7.4","NA"
"The Unicorn(2018)","The Unicorn","2021-05-20","movie","2018","2010","2015","4","88","Comedy","","","n","Hulu","6.0","5.2","NA"
"Two Distant Strangers(2020)","Two Distant Strangers","2021-05-21","short","2020","2020","2020","2","32","Drama","Sci-Fi","Short","n","Netflix","8.0","6.9","NA"
"Army of the Dead(2021)","Army of the Dead","2021-05-22","movie","2021","2020","2020","1","148","Action","Crime","Horror","n","Netflix","8.5","5.7","NA"
